id,references,context,question,predictions
56beb4343aeaaa14008c925b,308,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ทีมรับของแพนเธอร์สยอมแพ้ที่คะแนนเท่าไร,ทีมรับของแพนเธอร์สยอมแพ้ที่คะแนน 308
56beb4343aeaaa14008c925c,136,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,จาเรด อัลเลน ทำการแซ็คไปกี่ครั้งตลอดอาชีพ,จาเรด อัลเลน ทำการแซ็คไป 136 ครั้งตลอดอาชีพ
56beb4343aeaaa14008c925d,118,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ลูค คีคลี แท็คเกิลไปกี่ครั้ง,118 ครั้ง
56beb4343aeaaa14008c925e,สี่,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,จอช นอร์แมน อินเตอร์เซปลูกบอลได้กี่ลูก,4 ครั้ง
56beb4343aeaaa14008c925f,คาวันน์ ชอร์ต,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ใครทำการแซ็คได้มากที่สุดของทีมในฤดูกาลนี้,คาวันน์ ชอร์ต ทำการแซ็คได้มากที่สุดของทีมในฤดูกาลนี้ ด้วยจำนวน 11 ครั้ง
56d6f3500d65d21400198290,24,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ทีมรับของแพนเธอร์ส ทำการอินเตอร์เซปไปกี่ครั้งภายในปี 2015,ทีมรับของแพนเธอร์ส ทำการอินเตอร์เซปไป 24 ครั้ง ในปี 2015
56d6f3500d65d21400198291,คาวันน์ ชอร์ต,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ใครเป็นผู้นำของแพนเธอร์สในการแซ็ค,คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมแพนเธอร์สในการแซ็คด้วยสถิติ 11 ครั้ง
56d6f3500d65d21400198292,สี่,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ผู้เล่นทีมรับของแพนเธอร์สได้รับเลือกให้เล่นในโปรโบว์ลกี่คน,"ผู้เล่นทีมรับของแพนเธอร์สได้รับเลือกให้เล่นในโปรโบว์ล 8 คน ได้แก่ คาวันน์ ชอร์ต, มาริโอ แอดดิสัน, จาเรด อัลเลน, โคนี อีลลี, โธมัส เดวิส, ลูค คีคลี, เคิร์ต โคลแมน และ จอช นอร์แมน"
56d6f3500d65d21400198293,สี่,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,โธมัส เดวิส ทำให้ฝ่ายตรงข้ามฟัมเบิลไปกี่ครั้ง,โธมัส เดวิส ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง
56d6f3500d65d21400198294,เคิร์ต โคลแมน,﻿ทีมรับของแพนเธอร์สถอดใจที่คะแนน 308 ได้อันดับที่หกของลีก ในขณะที่เป็นผู้นำในเอ็นเอฟแอลด้วยการอินเตอร์เซป 24 ครั้งและได้รับเลือกให้เล่นในโปรโบว์ล สี่ ครั้ง คาวันน์ ชอร์ต ผู้เล่นตำแหน่งดีเฟนซีฟแทคเกิลใน โปรโบว์ล นำทีมด้วยการแซ็ค 11 ครั้ง ในขณะที่ทำให้ฝ่ายตรงข้ามฟัมเบิลไป 3 ครั้งและเอาลูกบอลกลับมาครองได้ สองครั้ง มาริโอ แอดดิสัน เพื่อนร่วมทีมซึ่งเป็นไลน์แมนแซ็คเพิ่มไป 6½ ครั้ง  นอกจากนี้ไลน์ของทีมแพนเธอร์สยังมี จาเรด อัลเลน ซึ่งเป็นดีเฟนซีฟเอนด์ผู้ช่ำช่องที่เคยเข้าร่วมในโปรโบว์ล 5 ครั้ง และเป็นผู้มีสถิตินำจากการแซ็คตลอดอาชีพนักอเมริกันฟุตบอลของ NFL ซึ่งปัจจุบันยังคงเล่นอยู่ โดยทำการแซ็คไป 136 ครั้ง พร้อมด้วย โคนี อีลลี ผู้เล่นตำแหน่งดีเฟนซีฟเอนด์ซึ่งทำการแซ็คไป 5 ครั้งภายในการเปิดเกม 9 ครั้งเท่านั้น  เบื้องหลังพวกเขา ไลน์แบคเกอร์สองในสามคนของทีมแพนเธอร์ส ก็ได้รับเลือกให้เล่นในโปรโบว์ลด้วยเช่นกัน ได้แก่  โธมัส เดวิส และ ลูค คีคลี เดวิสแซ็คไป 5½ ครั้ง ทำให้ฝ่ายตรงข้ามฟัมเบิลสี่ครั้ง และอินเตอร์เซปสี่ครั้ง ในขณะที่คีคลี นำทีมด้วยการแท็คเกิล (118 ครั้ง) ทำให้ฝ่ายตรงข้ามฟัมเบิลสองครั้ง และอินเตอร์เซปสี่ครั้งจากการขว้างลูกบอลของเขาเอง  เคิร์ต โคลแมน ซึ่งเป็นผู้เล่นตำแหน่งแนวรับรองของแคโรไลนา ทำคะแนนจากเซฟตี้ในโปรโบว์ลเขานำทีมด้วยสถิติอินเตอร์เซปสูงถึงเจ็ดครั้งตลอดอาชีพ รวมถึงแท็คเกิล 88 ครั้ง ในขณะที่ จอช นอร์แมน ผู้เล่นในตำแหน่งคอร์เนอร์แบ็กซึ่งกลายมาเป็นชัตดาวน์คอร์เนอร์ระหว่างฤดูกาล และทำอินเตอร์เซปไปสี่ครั้ง ซึ่งสองครั้งในนั้นกลายเป็นทัชดาวน์,ผู้เล่นคนใดทำการอินเตอร์เซปสูงสุดในฤดูกาล,เคิร์ต โคลแมน ทำการอินเตอร์เซปสูงสุดในฤดูกาลด้วยสถิติเจ็ดครั้งตลอดอาชีพ
